title,year,source_title,doi,rank,publisher,event,source_type,holding_publisher,title_vote_haq,title_vote_anand,title_vote_final,title_verdict,has_abstract,abstract_verdict,has_fulltext,fulltext_verdict,exclusion_reason
Continuous auditing and threat detection in multi-cloud infrastructure,2021,Computers and Security,10.1016/j.cose.2020.102124,Q1,Elsevier Ltd.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Cloud security engineering: Early stages of SDLC,2017,Future Generation Computer Systems,10.1016/j.future.2016.10.005,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Cloud accounting risks and mitigation strategies: evidence from Australia,2020,Accounting Forum,10.1080/01559982.2020.1783047,Q1,Taylor and Francis Ltd.,,journal,Taylor&Francis,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Security concerns in popular cloud storage services,2013,IEEE Pervasive Computing,10.1109/MPRV.2013.72,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Data integrity checking with reliable data transfer for secure cloud storage,2018,International Journal of Web and Grid Services,10.1504/IJWGS.2018.088396,Q1,Inderscience Enterprises Ltd,,journal,Other,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
A risk assessment model for selecting cloud service providers,2016,Journal of Cloud Computing,10.1186/s13677-016-0064-x,Q1,Springer Science + Business Media,,journal,Springer,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Privacy preserving model: a new scheme for auditing cloud stakeholders,2017,Journal of Cloud Computing,10.1186/s13677-017-0076-1,Q1,Springer Science + Business Media,,journal,Springer,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Empirical evaluation of a cloud computing information security governance framework,2015,Information and Software Technology,10.1016/j.infsof.2014.10.003,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
A Risk Assessment Framework for Cloud Computing,2016,IEEE Transactions on Cloud Computing,10.1109/TCC.2014.2344653,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Saudi cloud infrastructure: a security analysis,2017,Science China Information Sciences,10.1007/s11432-016-0322-7,Q1,Science in China Press,,journal,Other,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Identity-Based Privacy Preserving Remote Data Integrity Checking for Cloud Storage,2021,IEEE Systems Journal,10.1109/JSYST.2020.2978146,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
"A pattern-based method for establishing a cloud-specific information security management system: Establishing information security management systems for clouds considering security, privacy, and legal compliance",2013,Requirements Engineering,10.1007/s00766-013-0174-7,Q1,Springer London,,journal,Springer,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Optimal coding and allocation for perfect secrecy in multiple clouds,2016,IEEE Transactions on Information Forensics and Security,10.1109/TIFS.2015.2500193,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Remote data possession checking with enhanced security for cloud storage,2015,Future Generation Computer Systems,10.1016/j.future.2014.10.006,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
The emerging Cloud Dilemma: Balancing innovation with cross-border privacy and outsourcing regulations,2019,Journal of Business Research,10.1016/j.jbusres.2018.06.006,Q1,Elsevier Inc.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Application design phase risk assessment framework using cloud security domains,2020,Journal of Information Security and Applications,10.1016/j.jisa.2020.102617,Q1,Elsevier Ltd.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
A fuzzy inference system (FIS) to evaluate the security readiness of cloud service providers,2020,Journal of Cloud Computing,10.1186/s13677-020-00192-9,Q1,Springer Science + Business Media,,journal,Springer,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Cloud services and government digital sovereignty in Australia and beyond,2021,International Journal of Law and Information Technology,10.1093/ijlit/eaac003,Q1,Oxford University Press,,journal,Other,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
A security requirements modelling language for cloud computing environments,2020,Software and Systems Modeling,10.1007/s10270-019-00747-8,Q1,Springer Verlag,,journal,Springer,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Co-Residence Data Theft Attacks on N-Version Programming-Based Cloud Services with Task Cancelation,2022,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",10.1109/TSMC.2020.3002930,Q1,IEEE Advancing Technology for Humanity,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
A Scalable Approach to Joint Cyber Insurance and Security-As-A-Service Provisioning in Cloud Computing,2019,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2017.2703626,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Towards a trust evaluation middleware for cloud service selection,2017,Future Generation Computer Systems,10.1016/j.future.2016.01.009,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
A User-Centric Data Protection Method for Cloud Storage Based on Invertible DWT,2021,IEEE Transactions on Cloud Computing,10.1109/TCC.2019.2911679,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Towards a framework for trustworthy data security level agreement in cloud procurement,2021,Computers and Security,10.1016/j.cose.2021.102266,Q1,Elsevier Ltd.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
DDoS attacks in cloud computing: Collateral damage to non-targets,2016,Computer Networks,10.1016/j.comnet.2016.03.022,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Collusion resistant secret sharing scheme for secure data storage and processing over cloud,2021,Journal of Information Security and Applications,10.1016/j.jisa.2021.102869,Q1,Elsevier Ltd.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Critical analysis of vendor lock-in and its impact on cloud computing migration: a business perspective,2016,Journal of Cloud Computing,10.1186/s13677-016-0054-z,Q1,Springer Science + Business Media,,journal,Springer,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Evaluating cloud deployment scenarios based on security and privacy requirements,2013,Requirements Engineering,10.1007/s00766-013-0166-7,Q1,Springer London,,journal,Springer,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Identifying Cloud Computing Risks based on Firm’s Ambidexterity Performance using Fuzzy VIKOR Technique,2022,Global Journal of Flexible Systems Management,10.1007/s40171-021-00292-8,Q1,Global Institute of Flexible Systems Management,,journal,Other,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
SecRBAC: Secure data in the Clouds,2017,IEEE Transactions on Services Computing,10.1109/TSC.2016.2553668,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
From virtualization security issues to cloud protection opportunities: An in-depth analysis of system virtualization models,2020,Computers and Security,10.1016/j.cose.2020.101905,Q1,Elsevier Ltd.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
A framework to support selection of cloud providers based on security and privacy requirements,2013,Journal of Systems and Software,10.1016/j.jss.2013.03.011,Q1,Elsevier Inc.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Cloud providers viability: How to address it from an IT and legal perspective?,2018,Electronic Markets,10.1007/s12525-018-0284-7,Q1,Springer Verlag,,journal,Springer,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
A pairing-free certificate-based proxy re-encryption scheme for secure data sharing in public clouds,2016,Future Generation Computer Systems,10.1016/j.future.2015.11.012,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
A secure data self-destructing scheme in cloud computing,2014,IEEE Transactions on Cloud Computing,10.1109/TCC.2014.2372758,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Security-by-design in multi-cloud applications: An optimization approach,2018,Information Sciences,10.1016/j.ins.2018.04.081,Q1,Elsevier Inc.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Cloud computing adoption framework: A security framework for business clouds,2016,Future Generation Computer Systems,10.1016/j.future.2015.09.031,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
A Study on the Security Implications of Information Leakages in Container Clouds,2021,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2018.2879605,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
A Formal Approach for the Identification of Authorization Policy Conflicts within Multi-Cloud Environments,2022,Journal of Grid Computing,10.1007/s10723-022-09606-1,Q1,Springer Netherlands,,journal,Springer,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Novel efficient techniques for real-time cloud security assessment,2016,Computers and Security,10.1016/j.cose.2016.06.003,Q1,Elsevier Ltd.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
ProSAS: Proactive Security Auditing System for Clouds,2022,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2021.3062204,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
A trust management framework for clouds,2019,Computer Communications,10.1016/j.comcom.2019.05.018,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Privacy preserving policy-based content sharing in public clouds,2013,IEEE Transactions on Knowledge and Data Engineering,10.1109/TKDE.2012.180,Q1,IEEE Computer Society,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Catch Me if You Can: A Closer Look at Malicious Co-Residency on the Cloud,2019,IEEE/ACM Transactions on Networking,10.1109/TNET.2019.2891528,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Multi-authority fine-grained access control with accountability and its application in cloud,2018,Journal of Network and Computer Applications,10.1016/j.jnca.2018.03.006,Q1,Academic Press Inc.,,journal,Other,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
SAIDS: A self-adaptable intrusion detection system for IaaS Clouds,2018,"Proceedings - 18th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing, CCGRID 2018",10.1109/CCGRID.2018.00054,A,IEEE,"2018 18th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,"E8. Literature review, editorial, comment, etc."
Secure cloud storage service for detection of security violations,2017,"Proceedings - 2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing, CCGRID 2017",10.1109/CCGRID.2017.19,A,IEEE,"2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,"E8. Literature review, editorial, comment, etc."
Security threats in cloud computing,2019,"2019 International Conference on Intelligent Computing and Control Systems, ICCS 2019",10.1109/ICCS45141.2019.9065542,A,IEEE,2019 International Conference on Intelligent Computing and Control Systems (ICCS),conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,"E8. Literature review, editorial, comment, etc."
IT Security and Privacy Standards in Comparison: Improving FedRAMP Authorization for Cloud Service Providers,2017,"Proceedings - 2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing, CCGRID 2017",10.1109/CCGRID.2017.137,A,IEEE,"2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,"E8. Literature review, editorial, comment, etc."
Data security and privacy for outsourced data in the cloud,2018,"Proceedings - IEEE 34th International Conference on Data Engineering, ICDE 2018",10.1109/ICDE.2018.00225,A*,IEEE,2018 IEEE 34th International Conference on Data Engineering (ICDE),conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,"E8. Literature review, editorial, comment, etc."
Zero knowledge Proofs for Cloud Storage Integrity Checking,2020,"Chinese Control Conference, CCC",10.23919/CCC50068.2020.9189231,A,IEEE,2020 39th Chinese Control Conference (CCC),conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Towards self adaptable security monitoring in IaaS clouds,2015,"Proceedings - 2015 IEEE/ACM 15th International Symposium on Cluster, Cloud, and Grid Computing, CCGrid 2015",10.1109/CCGrid.2015.133,A,IEEE,"2015 15th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGrid)",conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
BitDeposit: Deterring attacks and abuses of cloud computing services through economic measures,2013,"Proceedings - 13th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing, CCGrid 2013",10.1109/CCGrid.2013.102,A,IEEE,"2013 13th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGrid)",conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
CATalyst: Defeating last-level cache side channel attacks in cloud computing,2016,Proceedings - International Symposium on High-Performance Computer Architecture,10.1109/HPCA.2016.7446082,A*,IEEE,2016 IEEE International Symposium on High Performance Computer Architecture (HPCA),conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Identifying privacy risks in distributed data services: A model-driven approach,2018,Proceedings - International Conference on Distributed Computing Systems,10.1109/ICDCS.2018.00157,A,IEEE,2018 IEEE 38th International Conference on Distributed Computing Systems (ICDCS),conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E4.2 Cloud only as an enabler
Multilevel classification of security concerns in cloud computing,2017,Applied Computing and Informatics,10.1016/j.aci.2016.03.001,Q1,Emerald Group Publishing Ltd.,,journal,Other,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Offering security diagnosis as a service for cloud SaaS applications,2019,Journal of Information Security and Applications,10.1016/j.jisa.2018.11.006,Q1,Elsevier Ltd.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Using formal distributions for threat likelihood estimation in cloud-enabled IT risk assessment,2018,Computer Networks,10.1016/j.comnet.2018.01.033,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E4.1 Focus on other technology/concept
Cloud Services vs. On-Premises Software: Competition under Security Risk and Product Customization,2020,Information Systems Research,10.1287/ISRE.2019.0919,Q1,INFORMS Institute for Operations Research and the Management Sciences,,journal,Other,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E5. Only cloud implementation or use case
Cloud-based business services innovation: A risk management model,2017,International Journal of Information Management,10.1016/j.ijinfomgt.2017.05.008,Q1,Elsevier Ltd.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,"E8. Literature review, editorial, comment, etc."
Towards secure and reliable cloud storage against data re-outsourcing,2015,Future Generation Computer Systems,10.1016/j.future.2014.11.002,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
SeDaSC: Secure Data Sharing in Clouds,2017,IEEE Systems Journal,10.1109/JSYST.2014.2379646,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Toward economic-aware risk assessment on the cloud,2015,IEEE Security and Privacy,10.1109/MSP.2015.138,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,"E8. Literature review, editorial, comment, etc."
Cloud computing system risk estimation and service selection approach based on cloud focus theory,2017,Neural Computing and Applications,10.1007/s00521-015-2166-7,Q1,Springer London,,journal,Springer,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Scalable risk assessment method for cloud computing using game theory (CCRAM),2015,Computer Standards and Interfaces,10.1016/j.csi.2014.08.007,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
ICAuth: A secure and scalable owner delegated inter-cloud authorization,2018,Future Generation Computer Systems,10.1016/j.future.2018.05.066,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Security governance as a service on the cloud,2019,Journal of Cloud Computing,10.1186/s13677-019-0148-5,Q1,Springer Science + Business Media,,journal,Springer,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
A New Secure Model for Data Protection over Cloud Computing,2021,Computational Intelligence and Neuroscience,10.1155/2021/8113253,Q1,Hindawi Publishing Corporation,,journal,Other,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
One secure data integrity verification scheme for cloud storage,2019,Future Generation Computer Systems,10.1016/j.future.2019.01.054,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
On the security of auditing mechanisms for secure cloud storage,2014,Future Generation Computer Systems,10.1016/j.future.2013.05.005,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
CIPPPA: Conditional Identity Privacy-Preserving Public Auditing for Cloud-Based WBANs against Malicious Auditors,2021,IEEE Transactions on Cloud Computing,10.1109/TCC.2019.2927219,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E4.2 Cloud only as an enabler
A rapid detection algorithm of corrupted data in cloud storage,2018,Journal of Parallel and Distributed Computing,10.1016/j.jpdc.2017.08.004,Q1,Academic Press Inc.,,journal,Other,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Proofs of Physical Reliability for Cloud Storage Systems,2020,IEEE Transactions on Parallel and Distributed Systems,10.1109/TPDS.2019.2958919,Q1,IEEE Computer Society,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Secure migration to compliant cloud services: A case study,2018,Journal of Information Security and Applications,10.1016/j.jisa.2017.11.004,Q1,Elsevier Ltd.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E5. Only cloud implementation or use case
PaaSword: A Holistic Data Privacy and Security by Design Framework for Cloud Services,2017,Journal of Grid Computing,10.1007/s10723-017-9394-2,Q1,Springer Netherlands,,journal,Springer,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Missing cloud security awareness: investigating risk exposure in shadow IT,2017,Journal of Enterprise Information Management,10.1108/JEIM-07-2015-0066,Q1,Emerald Group Publishing Ltd.,,journal,Other,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,"E8. Literature review, editorial, comment, etc."
A behavior-aware SLA-based framework for guaranteeing the security conformance of cloud service,2020,Frontiers of Computer Science,10.1007/s11704-019-9130-0,Q1,Higher Education Press,,journal,Other,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Resilience of cloud computing in critical systems,2014,Quality and Reliability Engineering International,10.1002/qre.1579,Q1,John Wiley and Sons Ltd,,journal,Wiley,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E7. Not focused on risk aspects
A novel approach to manage cloud security SLA incidents,2017,Future Generation Computer Systems,10.1016/j.future.2016.06.004,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Enhancing accountability in the cloud,2020,International Journal of Information Management,10.1016/j.ijinfomgt.2016.03.004,Q1,Elsevier Ltd.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Building consumer trust in the cloud: an experimental analysis of the cloud trust label approach,2019,Journal of Cloud Computing,10.1186/s13677-019-0129-8,Q1,Springer Science + Business Media,,journal,Springer,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Data and infrastructure security auditing in cloud computing environments,2014,International Journal of Information Management,10.1016/j.ijinfomgt.2013.11.002,Q1,Elsevier Ltd.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
"Towards understanding uncertainty in cloud computing with risks of confidentiality, integrity, and availability",2019,Journal of Computational Science,10.1016/j.jocs.2016.11.011,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Security and privacy attacks during data communication in Software Defined Mobile Clouds,2020,Computer Communications,10.1016/j.comcom.2020.02.030,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E4.1 Focus on other technology/concept
Development of a cloud trust label: A delphi approach,2016,Journal of Computer Information Systems,10.1080/08874417.2016.1153887,Q1,Taylor and Francis Ltd.,,journal,Taylor&Francis,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Risks in enterprise cloud computing: The perspective of it experts,2013,Journal of Computer Information Systems,10.1080/08874417.2013.11645649,Q1,Taylor and Francis Ltd.,,journal,Taylor&Francis,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,"E8. Literature review, editorial, comment, etc."
Towards performance evaluation of cloud service providers for cloud data security,2016,International Journal of Information Management,10.1016/j.ijinfomgt.2016.03.005,Q1,Elsevier Ltd.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Cloud computing risk and audit issues,2015,Computer Standards and Interfaces,10.1016/j.csi.2015.06.005,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Security and privacy in cloud computing,2013,IEEE Communications Surveys and Tutorials,10.1109/SURV.2012.060912.00182,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E5. Only cloud implementation or use case
MGPV: A novel and efficient scheme for secure data sharing among mobile users in the public cloud,2019,Future Generation Computer Systems,10.1016/j.future.2019.01.034,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
Security assurance assessment methodology for hybrid clouds,2017,Computers and Security,10.1016/j.cose.2017.03.009,Q1,Elsevier Ltd.,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Excluded,E6. Technique not feasible for consumers
