Title,Main objective,Risk name,Risk description,By operational cyber risk,By ENISA's list of risk categories,Present in ENISA report?,"If ""No"", why? What changed?",Technique name,Technique description,By Ardagna (2015)
ProSAS: Proactive Security Auditing System for Clouds,Propose risk management technique(s),,,,,,,ProSAS: PROACTIVE SECURITY AUDITING SYSTEM,"- proactive auditing to prevent violations to security policies at runtime with a practical response time
- build model by learning from critical events from historical data e.g. log (detect violations of security policies using offline auditing tools )
- it applies that tool to verify the current cloud configurations
- identifies any violation of a security policy reported by the tool
- identify log entries for the period during which a violation has occurred
- shortlist the candidate's critical events for the violation by eliminating irrelevant log entries from the collected log entries
- identify the responsible critical event for the violation.
- intercept runtime events, predict a most probable future event, build a watchlist for future events
- enforce security policies based on verification results at runtime",Monitoring
Towards a framework for trustworthy data security level agreement in cloud procurement,Propose risk management technique(s),,,,,,,trustworthy data security level agreement (TDSLA) capability framework,"new assurance mechanism for service provisioning based on discrete levels of security assurance incorporated into the formulation of a service level agreement (SLA)
The framework presented in Figure 4 consists of several categories, depicted in five main categories as proposed principles, as follows:
1. Classifying Government Data;
2. Identifying Data Confidentiality Risks;
3. Defining SLA Data Confidentiality Requirements;
4. Provisioning Data Confidentiality Capabilities; and
5. Formulating Discrete Security Assurance Levels",SLA
Cloud accounting risks and mitigation strategies: evidence from Australia,Discuss and analyze risk(s),Risks of using a cloud-based accounting system,"The identified risks specific to cloud accounting were (i) financial statement reliability, (ii) legal compliance, (iii) location of data, and (iv) ownership of data, which according to TOE can all be classified under Environment. 

Under Technology, Internet stability and availability, data security, cloud server stability and
availability etc, leads to compromise in CIA triad.

Under Organization, as users of cloud accounting become accustomed to particular cloud-accounting software, dependence on vendors and asset specificity is likely to increase (staff-resistance --> locked-in --> vendor opportunism.",,,,,,,
A risk assessment model for selecting cloud service providers,Propose risk management technique(s),,,,,,,CARAM (cloud adoption risk assessment model),"• A questionnaire for CSCs
• A tool and an algorithm to classify the answers to
Cloud Assessment Initiative Questionnaire (CAIQ)
to discrete values
• A model that maps the answers to both
questionnaires to risk values
• A multi-criteria decision approach with posterior
articulation of CSC preferences for relative risk
analysis, using a few parameters for security, privacy
and quality of service, allowing to to quickly and
reliably compare multiple CSPs",Certification
Privacy preserving model: a new scheme for auditing cloud stakeholders,Propose risk management technique(s),,,,,,,"A scheme and model to audit cloud stakeholders, especially TPA and CSP",#NAME?,Audit/Compliance
Novel efficient techniques for real-time cloud security assessment,Propose risk management technique(s),,,,,,,fQHP and Moving Intervals Process,"QHP is a methodology to implement SecSLA by ranking different offers from CSPs against the requirements of a CSC. It quantifies the security level using [0,n] notation where 0 means no security measure is provided and n means the highest level of security, for both CSP offers and CSC required value. It also provides a priority matrix to form a single score (eigenvalue) to aggregate the fitness of each offer.

fQHP and MIP are improved versions of QHP that offer simplified calculation and finer-grained comparison to show over-provisioning offers, respectively.",SLA
A security requirements modelling language for cloud computing environments,Propose risk management technique(s),,,,,,,A Security Requirements Modelling Language for Cloud Computing Environments,"- novel security modelling language and a set of original analysis techniques, for capturing and analyzing security requirements for
cloud computing environments
- elicit, model and analyse security requirements for cloud infrastructures
- A cloud meta-model aligning concepts between security engineering, goal-based requirements engineering and cloud computing
- A  modelling language describing cloud computing concepts, relationships and properties.
- A machine-readable syntax notation to unambiguously describe the modelling language.
- Three security analysis techniques; cloud security analysis, security mitigation analysis, and transparency analysis.
",Other: Secure SDLC
A Risk Assessment Framework for Cloud Computing,Propose risk management technique(s),,,,,,,A Risk Assessment Framework for Cloud Computing,"The main contributions of this paper are:
- A risk assessment framework for cloud computing. Risk assessment is supported at service deployment and operation,  and benefits both end-users as well as infrastructure providers.
- A  model for infrastructure providers to  assess  at service  operation  the  risk  of  failure  of  1)  physical nodes; 2) VMs; 3) SLAs, and 4) entire cloud infrastructure.
- An  evaluation  of  the  risk  model  on  a  cloud  infrastructure and through simulation",SLA
Application design phase risk assessment framework using cloud security domains,Propose risk management technique(s),,,,,,,risk assessment framework for clients’ applications during the design phase (secure SDLC),"- Design and develop a novel design phase risk assessment framework by introducing cloud security metrics through the semi-automated generation of cloud misuse patterns. 
- Identify critical application elements to be protected in the event of different attacks and provide a deeper level of granularity to asset-level classification technique by representing application data flow diagrams (DFD) as a probabilistic state transition diagram in conjunction with the concepts of percolation centrality [32] for estimating the spread of infections in communities. 
- Simulate the proposed framework on a use case scenario analyzing the effectiveness of considering cloud security metrics during the design phase risk assessment of an application. The key findings demonstrate how to quantitatively and qualitatively obtain a distinction in terms of prioritizing the security of multiple system resources that belong to the same security asset level.",Other: Secure SDLC
Towards a trust evaluation middleware for cloud service selection,Propose risk management technique(s),,,,,,,TRUSS: Trust evaluation middleware for cloud service selection,A trustworthy cloud service selection framework is proposed by combining both objective measurement (using QoS monitoring) and subjective measurement (user feedback rating).,Certification
Multi-authority fine-grained access control with accountability and its application in cloud,Propose risk management technique(s),,,,,,,Multi-authority fine-grained access control with accountability and its application in cloud,"a privacy-aware multi-authority ciphertext-policy ABE scheme with
accountability, which hides the attribute information in the ciphertext and allows tracing the dishonest user
identity who shares the decryption key.",Encryption
Continuous auditing and threat detection in multi-cloud infrastructure,Propose risk management technique(s),,,,,,, CSBAuditor,#NAME?,Monitoring
Cloud security engineering: Early stages of SDLC,Propose risk management technique(s),,,,,,,Cloud protection framework," This framework aims at adding an extra security level at the early stages of
the CSDLC, which has been further illustrated by a case study showing the applicability of the framework.

The proposed Cloud protection framework includes five basic
levels of protection as mentioned below: (i) Storage-level,
(ii) Service-level, (iii) Hypervisor-level, (iv) Record-level, and
(v) Datacenters-level",Other: Secure SDLC
SecRBAC: Secure data in the Clouds,Propose risk management technique(s),,,,,,,SecRBAC,"This paper presents a data-centric access control solution with enriched role-based expressiveness in which security is focused on protecting user data regardless of the Cloud service provider that holds it, method:
-  identity-based and proxy re-encryption techniques 
- authorization rules are cryptographically protected
-  The authorization model provides high expressiveness with role and resource hierarchy support
- Acess control computation delegated to the CSP, but
being unable to grant access to unauthorized parties",Access control
A Study on the Security Implications of Information Leakages in Container Clouds,Discuss and analyze risk(s), INFORMATION LEAKAGES IN CONTAINER CLOUDS,"This paper discusses the implication of a vulnerability in container clouds, i.e., a side channel between the container and the host OS that allows malicious tenants to gather information about the host and enables them to reach co-residency, build the covert channel to exchange information between containers, and to execute synergistic power attacks (an optimized power attack to overload the physical server by exploiting power spikes from benign processes or orchestrate multiple attacks at the same time.",System & Tech - Software,Technical,Yes,,,,
A Formal Approach for the Identification of Authorization Policy Conflicts within Multi-Cloud Environments,Discuss and analyze risk(s); Propose risk management technique(s),Authorization conflicts in multi-Cloud environments,"Different syntax, semantic, policy, and authorization models in Identity and Access Management among cloud providers create a conflict of access control policies in a multi-cloud setting.",System & Tech - Systems,Policy & Organizational,No,"Multicloud concept was not very mature back then, because consumers did not have to use multiple providers for their projects, e.g., due to simplicity or scale of the project.",Multi-cloud policy aggregator and evaluator,Identifying authorization policy conflicts and aggregating them.,Access control
